SMILES,Tg_pred,MAC_pred,score,cluster_id,rank_in_cluster,Score,MolWt,ExactMolWt,HeavyAtomMolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRings,FractionCSP3,LabuteASA,BalabanJ,BertzCT,Chi0v,Chi1n,Kappa1,Kappa2,NumHeavyAtoms,unc_Tg,unc_MAC,__rowid__
*C(=O)Nc1ccc(*)n1N,134.38418865992926,0.0571194474912218,7.675950607811275,0,1,14.392553572376642,123.115,9.0,46.0,-0.5423000000000002,33.2351,0.0,1.0,0.0,0.0,3.0,2.0,60.05,6.0,1.0,-1.45,3.551589868698774,1.0988759684644815,0.0549036571845687,4.665833073250181e-06,3
*C(=O)Nc1ccc(*)nc1O,134.36560319321887,0.0571316615389142,7.676530164107032,1,1,12.92494636777114,136.11,10.0,50.0,0.0429999999999998,34.554500000000004,0.0,1.0,0.0,0.0,3.0,2.0,62.22,6.0,1.0,-1.5799999999999998,4.269573203753302,1.470765522534775,0.0559809943511959,4.933860963772999e-06,2
*C(=O)Nc1ccc(*)c(O)c1O,134.46376830328725,0.0571509463621363,7.684731609951893,2,1,12.352368021481505,151.12099999999998,11.0,56.0,0.3535999999999997,38.42430000000001,0.0,1.0,0.0,0.0,3.0,3.0,69.56,6.0,1.0,-1.7100000000000002,5.008836911726517,1.6602267940539053,0.0467248636718332,3.623820436580793e-06,1
*C(=O)Nc1ccc(NC(=O)c2ccc(*)o2)o1,134.73550185457913,0.057062453518424,7.688338311858455,3,1,11.898361512405662,218.168,16.0,80.0,1.3806999999999998,54.0219,0.0,2.0,0.0,0.0,4.0,2.0,84.48,8.0,3.0,-2.5,7.74793388429752,2.9934359438660025,0.0606773466061455,4.448772464826974e-06,0
