SMILES,Tg_pred,MAC_pred,score,cluster_id,rank_in_cluster,MolWt,ExactMolWt,HeavyAtomMolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRings,FractionCSP3,LabuteASA,BalabanJ,BertzCT,Chi0v,Chi1n,Kappa1,Kappa2,NumHeavyAtoms,__rowid__
*C(=O)Nc1ccc(*)c(O)c1O,217.0546231103612,0.056909029830712,12.352368021481508,0,1,151.12099999999998,11.0,56.0,0.3535999999999997,38.42430000000001,0.0,1.0,0.0,0.0,3.0,3.0,69.56,6.0,1.0,-1.7100000000000002,5.008836911726517,1.6602267940539053,2
*C(=O)Nc1ccc(*)nc1O,227.14036963512945,0.0569029027668368,12.924946367771142,1,1,136.11,10.0,50.0,0.0429999999999998,34.554500000000004,0.0,1.0,0.0,0.0,3.0,2.0,62.22,6.0,1.0,-1.5799999999999998,4.269573203753302,1.470765522534775,1
*C(=O)Nc1ccc(*)nc1C(=O)O,234.71929995372287,0.0569032479948843,13.356290534452349,2,1,164.11999999999998,12.0,60.0,0.0356,39.849,0.0,1.0,0.0,0.0,3.0,2.0,79.29,7.0,2.0,-1.91,5.703826819942243,2.036933266590908,0
