SMILES,Tg_pred,MAC_pred,Score,MolWt,ExactMolWt,HeavyAtomMolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRings,FractionCSP3,LabuteASA,BalabanJ,BertzCT,Chi0v,Chi1n,Kappa1,Kappa2,NumHeavyAtoms,unc_Tg,unc_MAC,score
*C(=O)Nc1ccc(*)n1N,134.38418865992926,0.05711944749122181,14.392553572376642,123.115,9.0,46.0,-0.5423000000000002,33.2351,0.0,1.0,0.0,0.0,3.0,2.0,60.05,6.0,1.0,-1.45,3.551589868698774,1.0988759684644815,0.05490365718456879,4.665833073250181e-06,7.675950607811275
*C(=O)Nc1ccc(*)c(O)c1,134.19434119290054,0.05714148963173754,14.102142371431768,135.122,10.0,50.0,0.6479999999999999,36.75950000000001,0.0,1.0,0.0,0.0,2.0,2.0,49.33,5.0,1.0,-1.5100000000000002,4.328329845210973,1.5025690547870765,0.05609134651636588,4.194230990201121e-06,7.668064555911976
*C(=O)Nc1ccc(*)nc1C(=O)O,134.37009960377716,0.057120689101084164,13.356290534452349,164.11999999999998,12.0,60.0,0.0356,39.849,0.0,1.0,0.0,0.0,3.0,2.0,79.29,7.0,2.0,-1.91,5.703826819942243,2.036933266590908,0.048594061196084844,4.058854569984255e-06,7.675312683949068
*C(=O)Nc1ccc(*)nc1O,134.36560319321887,0.05713166153891421,12.92494636777114,136.11,10.0,50.0,0.0429999999999998,34.554500000000004,0.0,1.0,0.0,0.0,3.0,2.0,62.22,6.0,1.0,-1.5799999999999998,4.269573203753302,1.470765522534775,0.055980994351195905,4.933860963772999e-06,7.676530164107032
*C(=O)NNC(=O)c1ccc(*)nc1,134.38830138617365,0.057108475413643646,12.515682311076397,163.136,12.0,60.0,-0.8401000000000001,39.86890000000001,0.0,1.0,0.0,0.0,3.0,2.0,71.09,7.0,1.0,-1.91,5.703826819942243,2.2979937239293733,0.049929313665151916,3.4679345309746317e-06,7.67471100559363
*C(=O)Nc1ccc(*)c(O)c1O,134.46376830328725,0.0571509463621363,12.352368021481505,151.12099999999998,11.0,56.0,0.3535999999999997,38.42430000000001,0.0,1.0,0.0,0.0,3.0,3.0,69.56,6.0,1.0,-1.7100000000000002,5.008836911726517,1.6602267940539053,0.04672486367183325,3.623820436580793e-06,7.684731609951893
*C(=O)Nc1ccc(*)n1C(=O)O,134.29292823413937,0.05711921064851424,11.96605060992704,152.10899999999998,11.0,56.0,0.2699999999999998,36.5075,0.0,1.0,0.0,0.0,3.0,2.0,71.33,7.0,1.0,-1.7799999999999998,4.9486739683719865,1.6287128128796258,0.052881524760918217,6.430022201080629e-06,7.670706056411611
*C(=O)Nc1ccc(NC(=O)c2ccc(*)o2)o1,134.73550185457913,0.057062453518424025,11.898361512405662,218.168,16.0,80.0,1.3806999999999998,54.0219,0.0,2.0,0.0,0.0,4.0,2.0,84.48,8.0,3.0,-2.5,7.74793388429752,2.9934359438660025,0.06067734660614555,4.448772464826974e-06,7.688338311858455
*C(=O)NC(=O)c1ccc(*)nc1N,134.453265844825,0.057067261240460354,11.84373672001628,163.13599999999997,12.0,60.0,-0.7625,41.1456,0.0,1.0,0.0,0.0,4.0,2.0,85.08,7.0,1.0,-1.91,5.703826819942243,2.036933266590908,0.05597861043574467,2.578210353635132e-06,7.672879646599695
