SMILES,Tg_pred,MAC_pred,score,MolWt,ExactMolWt,HeavyAtomMolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRings,FractionCSP3,LabuteASA,BalabanJ,BertzCT,Chi0v,Chi1n,Kappa1,Kappa2,NumHeavyAtoms,Tg_norm,MAC_norm,_tg_col_used,_mac_col_used,_tg_val,_mac_val,_reason
*C(=O)Nc1ccc(*)n1N,252.9545989490555,0.0568977738778936,1.1235613758339817,123.115,9.0,46.0,-0.5423000000000002,33.2351,0.0,1.0,0.0,0.0,3.0,2.0,60.05,6.0,1.0,-1.45,3.551589868698774,1.0988759684644815,1.1765330183677,0.9999608765886396,Tg_pred,MAC_pred,252.9545989490555,0.0568977738778936,
*C(=O)Nc1ccc(*)nc1C(=O)O,234.71929995372287,0.0569032479948844,1.0642194966956982,164.11999999999998,12.0,60.0,0.0356,39.849,0.0,1.0,0.0,0.0,3.0,2.0,79.29,7.0,2.0,-1.91,5.703826819942243,2.036933266590908,1.091717674203362,1.0000570825111494,Tg_pred,MAC_pred,234.71929995372287,0.0569032479948844,
*C(=O)Nc1ccc(*)nc1O,227.14036963512947,0.0569029027668368,1.039542089428878,136.11,10.0,50.0,0.0429999999999998,34.554500000000004,0.0,1.0,0.0,0.0,3.0,2.0,62.22,6.0,1.0,-1.5799999999999998,4.269573203753302,1.470765522534775,1.0564668355122302,1.0000510152343902,Tg_pred,MAC_pred,227.14036963512947,0.0569029027668368,
*C(=O)NNC(=O)c1ccc(*)nc1,219.9737564152068,0.0568962521486094,1.0161738653372292,163.136,12.0,60.0,-0.8401000000000001,39.86890000000001,0.0,1.0,0.0,0.0,3.0,2.0,71.09,7.0,1.0,-1.91,5.703826819942243,2.2979937239293733,1.0231337507684037,0.9999341326644885,Tg_pred,MAC_pred,219.9737564152068,0.0568962521486094,
*C(=O)Nc1ccc(*)c(O)c1O,217.05462311036115,0.056909029830712,1.0067370795411459,151.12099999999998,11.0,56.0,0.3535999999999997,38.42430000000001,0.0,1.0,0.0,0.0,3.0,3.0,69.56,6.0,1.0,-1.7100000000000002,5.008836911726517,1.6602267940539053,1.0095563865598194,1.0001586964975746,Tg_pred,MAC_pred,217.05462311036115,0.056909029830712,
*C(=O)Nc1ccc(*)n1C(=O)O,210.2664507660196,0.0569089865089444,0.9846358248937324,152.10899999999998,11.0,56.0,0.2699999999999998,36.5075,0.0,1.0,0.0,0.0,3.0,2.0,71.33,7.0,1.0,-1.7799999999999998,4.9486739683719865,1.6287128128796258,0.9779834919349749,1.0001579351308332,Tg_pred,MAC_pred,210.2664507660196,0.0569089865089444,below_weighted_threshold
*C(=O)Nc1ccc(NC(=O)c2ccc(*)o2)o1,209.11770776796823,0.0568979147648643,0.9808373566626003,218.168,16.0,80.0,1.3806999999999998,54.0219,0.0,2.0,0.0,0.0,4.0,2.0,84.48,8.0,3.0,-2.5,7.74793388429752,2.9934359438660025,0.9726405012463638,0.999963352633819,Tg_pred,MAC_pred,209.11770776796823,0.0568979147648643,below_weighted_threshold
*C(=O)NC(=O)c1ccc(*)nc1N,208.12548596944168,0.0569067102226742,0.9776532403257734,163.13599999999997,12.0,60.0,-0.7625,41.1456,0.0,1.0,0.0,0.0,4.0,2.0,85.08,7.0,1.0,-1.91,5.703826819942243,2.036933266590908,0.9680255161369381,1.0001179300997223,Tg_pred,MAC_pred,208.12548596944168,0.0569067102226742,below_weighted_threshold
