SMILES,Tg_pred,MAC_pred,Score,MolWt,ExactMolWt,HeavyAtomMolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRings,FractionCSP3,LabuteASA,BalabanJ,BertzCT,Chi0v,Chi1n,Kappa1,Kappa2,NumHeavyAtoms,unc_Tg,unc_MAC,score
*C(=O)Nc1ccc(NC(=O)c2ccc(*)o2)o1,126.418924057927,0.0576331791804001,11.898361512405662,218.168,16.0,80.0,1.3806999999999998,54.0219,0.0,2.0,0.0,0.0,4.0,2.0,84.48,8.0,3.0,-2.5,7.74793388429752,2.9934359438660025,0.2963835106022263,1.876545192919929e-05,7.285924502023912
*C(=O)Nc1ccc(*)c(O)c1O,125.2526002123382,0.0577590857150802,12.352368021481505,151.12099999999998,11.0,56.0,0.3535999999999997,38.42430000000001,0.0,1.0,0.0,0.0,3.0,3.0,69.56,6.0,1.0,-1.7100000000000002,5.008836911726517,1.6602267940539053,0.1858776573154154,1.0838155922693168e-05,7.23447567170112
*C(=O)Nc1ccc(*)n1C(=O)O,124.9478560791406,0.0577591242747784,11.96605060992704,152.10899999999998,11.0,56.0,0.2699999999999998,36.5075,0.0,1.0,0.0,0.0,3.0,2.0,71.33,7.0,1.0,-1.7799999999999998,4.9486739683719865,1.6287128128796258,0.2330095382432254,1.1796950047113398e-05,7.216878747142212
*C(=O)NC(=O)c1ccc(*)nc1N,124.6144330406002,0.0577589655059183,11.84373672001628,163.13599999999997,12.0,60.0,-0.7625,41.1456,0.0,1.0,0.0,0.0,4.0,2.0,85.08,7.0,1.0,-1.91,5.703826819942243,2.036933266590908,0.2563427818269062,2.1908312453855027e-05,7.197600739531599
