SMILES,Tg_pred,MAC_pred,Score,MolWt,ExactMolWt,HeavyAtomMolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRings,FractionCSP3,LabuteASA,BalabanJ,BertzCT,Chi0v,Chi1n,Kappa1,Kappa2,NumHeavyAtoms
*C(=O)Nc1ccc(*)n1N,252.9545989490556,0.0568977738778936,14.39255357237664,123.115,9.0,46.0,-0.5423000000000002,33.2351,0.0,1.0,0.0,0.0,3.0,2.0,60.05,6.0,1.0,-1.45,3.551589868698774,1.0988759684644815
*C(=O)Nc1ccc(*)nc1C(=O)O,234.71929995372287,0.0569032479948843,13.356290534452349,164.11999999999998,12.0,60.0,0.0356,39.849,0.0,1.0,0.0,0.0,3.0,2.0,79.29,7.0,2.0,-1.91,5.703826819942243,2.036933266590908
*C(=O)Nc1ccc(*)nc1O,227.14036963512945,0.0569029027668368,12.924946367771142,136.11,10.0,50.0,0.0429999999999998,34.554500000000004,0.0,1.0,0.0,0.0,3.0,2.0,62.22,6.0,1.0,-1.5799999999999998,4.269573203753302,1.470765522534775
*C(=O)NNC(=O)c1ccc(*)nc1,219.9737564152068,0.0568962521486094,12.515682311076398,163.136,12.0,60.0,-0.8401000000000001,39.86890000000001,0.0,1.0,0.0,0.0,3.0,2.0,71.09,7.0,1.0,-1.91,5.703826819942243,2.2979937239293733
*C(=O)Nc1ccc(*)c(O)c1O,217.0546231103612,0.056909029830712,12.352368021481508,151.12099999999998,11.0,56.0,0.3535999999999997,38.42430000000001,0.0,1.0,0.0,0.0,3.0,3.0,69.56,6.0,1.0,-1.7100000000000002,5.008836911726517,1.6602267940539053
*C(=O)Nc1ccc(*)n1C(=O)O,210.2664507660196,0.0569089865089444,11.96605060992704,152.10899999999998,11.0,56.0,0.2699999999999998,36.5075,0.0,1.0,0.0,0.0,3.0,2.0,71.33,7.0,1.0,-1.7799999999999998,4.9486739683719865,1.6287128128796258
*C(=O)Nc1ccc(NC(=O)c2ccc(*)o2)o1,209.1177077679681,0.0568979147648643,11.898361512405655,218.168,16.0,80.0,1.3806999999999998,54.0219,0.0,2.0,0.0,0.0,4.0,2.0,84.48,8.0,3.0,-2.5,7.74793388429752,2.9934359438660025
*C(=O)NC(=O)c1ccc(*)nc1N,208.12548596944168,0.0569067102226742,11.84373672001628,163.13599999999997,12.0,60.0,-0.7625,41.1456,0.0,1.0,0.0,0.0,4.0,2.0,85.08,7.0,1.0,-1.91,5.703826819942243,2.036933266590908
