SMILES,Tg_pred,MAC_pred,score,cluster_id,rank_in_cluster,Score,MolWt,ExactMolWt,HeavyAtomMolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRings,FractionCSP3,LabuteASA,BalabanJ,BertzCT,Chi0v,Chi1n,Kappa1,Kappa2,NumHeavyAtoms,unc_Tg,unc_MAC,__rowid__
*C(=O)NC(=O)c1ccc(*)nc1N,124.6144330406002,0.0577589655059183,7.197600739531599,0,1,11.843736720016285,163.13599999999997,12.0,60.0,-0.7625,41.1456,0.0,1.0,0.0,0.0,4.0,2.0,85.08,7.0,1.0,-1.91,5.703826819942243,2.036933266590908,0.2563427818269069,2.190831245385136e-05,3
*C(=O)Nc1ccc(*)n1C(=O)O,124.9478560791406,0.0577591242747784,7.216878747142212,1,1,11.96605060992704,152.10899999999998,11.0,56.0,0.2699999999999998,36.5075,0.0,1.0,0.0,0.0,3.0,2.0,71.33,7.0,1.0,-1.7799999999999998,4.9486739683719865,1.6287128128796258,0.2330095382432222,1.1796950047111788e-05,2
*C(=O)Nc1ccc(*)c(O)c1O,125.2526002123382,0.0577590857150802,7.23447567170112,2,1,12.35236802148151,151.12099999999998,11.0,56.0,0.3535999999999997,38.42430000000001,0.0,1.0,0.0,0.0,3.0,3.0,69.56,6.0,1.0,-1.7100000000000002,5.008836911726517,1.6602267940539053,0.1858776573154064,1.0838155922691955e-05,1
*C(=O)Nc1ccc(NC(=O)c2ccc(*)o2)o1,126.418924057927,0.0576331791804001,7.285924502023912,3,1,11.89836151240566,218.168,16.0,80.0,1.3806999999999998,54.0219,0.0,2.0,0.0,0.0,4.0,2.0,84.48,8.0,3.0,-2.5,7.74793388429752,2.9934359438660025,0.2963835106022253,1.876545192919821e-05,0
