SMILES,Tg_pred,MAC_pred,score,cluster_id,rank_in_cluster,MolWt,ExactMolWt,HeavyAtomMolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRings,FractionCSP3,LabuteASA,BalabanJ,BertzCT,Chi0v,Chi1n,Kappa1,Kappa2,NumHeavyAtoms,Tg_norm,MAC_norm,_tg_col_used,_mac_col_used,_tg_val,_mac_val,_reason,__rowid__
*C(=O)Nc1ccc(*)c(O)c1O,217.05462311036115,0.056909029830712,1.006737079541146,0,1,151.12099999999998,11.0,56.0,0.3535999999999997,38.42430000000001,0.0,1.0,0.0,0.0,3.0,3.0,69.56,6.0,1.0,-1.7100000000000002,5.008836911726517,1.6602267940539053,1.0095563865598194,1.0001586964975746,Tg_pred,MAC_pred,217.05462311036115,0.056909029830712,,4
*C(=O)NNC(=O)c1ccc(*)nc1,219.9737564152068,0.0568962521486094,1.0161738653372292,1,1,163.136,12.0,60.0,-0.8401000000000001,39.86890000000001,0.0,1.0,0.0,0.0,3.0,2.0,71.09,7.0,1.0,-1.91,5.703826819942243,2.2979937239293733,1.0231337507684035,0.9999341326644884,Tg_pred,MAC_pred,219.9737564152068,0.0568962521486094,,3
*C(=O)Nc1ccc(*)nc1O,227.14036963512947,0.0569029027668368,1.039542089428878,2,1,136.11,10.0,50.0,0.0429999999999998,34.554500000000004,0.0,1.0,0.0,0.0,3.0,2.0,62.22,6.0,1.0,-1.5799999999999998,4.269573203753302,1.470765522534775,1.0564668355122302,1.0000510152343902,Tg_pred,MAC_pred,227.14036963512947,0.0569029027668368,,2
*C(=O)Nc1ccc(*)nc1C(=O)O,234.71929995372287,0.0569032479948844,1.0642194966956982,3,1,164.11999999999998,12.0,60.0,0.0356,39.849,0.0,1.0,0.0,0.0,3.0,2.0,79.29,7.0,2.0,-1.91,5.703826819942243,2.036933266590908,1.091717674203362,1.0000570825111494,Tg_pred,MAC_pred,234.71929995372287,0.0569032479948844,,1
*C(=O)Nc1ccc(*)n1N,252.9545989490555,0.0568977738778936,1.1235613758339815,4,1,123.115,9.0,46.0,-0.5423000000000002,33.2351,0.0,1.0,0.0,0.0,3.0,2.0,60.05,6.0,1.0,-1.45,3.551589868698774,1.0988759684644815,1.1765330183677,0.9999608765886396,Tg_pred,MAC_pred,252.9545989490555,0.0568977738778936,,0
