Training begins…
Epoch 01 | step 4700 | lr 3.00e-04 | train loss 1.1668
Epoch 01 | step 4750 | lr 3.00e-04 | train loss 1.1672
Epoch 01 | step 4800 | lr 3.00e-04 | train loss 1.1647
Epoch 01 | step 4850 | lr 3.00e-04 | train loss 1.1660
Epoch 01 | step 4900 | lr 3.00e-04 | train loss 1.1651
Epoch 01 | step 4950 | lr 3.00e-04 | train loss 1.1653
Epoch 01 | step 5000 | lr 3.00e-04 | train loss 1.1662
Epoch 01 | step 5050 | lr 3.00e-04 | train loss 1.1630
Epoch 01 | step 5100 | lr 3.00e-04 | train loss 1.1596
Epoch 01 | step 5150 | lr 3.00e-04 | train loss 1.1611
Epoch 01 | step 5200 | lr 3.00e-04 | train loss 1.1612
Epoch 01 | step 5250 | lr 3.00e-04 | train loss 1.1605
Epoch 01 | step 5300 | lr 3.00e-04 | train loss 1.1569
Epoch 01 | step 5350 | lr 3.00e-04 | train loss 1.1572
Epoch 01 | step 5400 | lr 3.00e-04 | train loss 1.1594
Epoch 01 | step 5450 | lr 3.00e-04 | train loss 1.1588
Epoch 01 | step 5500 | lr 3.00e-04 | train loss 1.1593
Epoch 01 | step 5550 | lr 3.00e-04 | train loss 1.1609
Epoch 01 | step 5600 | lr 3.00e-04 | train loss 1.1651
Epoch 01 | step 5650 | lr 3.00e-04 | train loss 1.1479
Epoch 01 | step 5700 | lr 3.00e-04 | train loss 1.1544
Epoch 01 | step 5750 | lr 3.00e-04 | train loss 1.1553
Epoch 01 | step 5800 | lr 3.00e-04 | train loss 1.1528
Epoch 01 | step 5850 | lr 3.00e-04 | train loss 1.1493
Epoch 01 | step 5900 | lr 3.00e-04 | train loss 1.1534
Epoch 01 | step 5950 | lr 3.00e-04 | train loss 1.1552
Epoch 01 | step 6000 | lr 3.00e-04 | train loss 1.1519
Epoch 01 | step 6050 | lr 3.00e-04 | train loss 1.1632
Epoch 01 | step 6100 | lr 3.00e-04 | train loss 1.1543
Epoch 01 | step 6150 | lr 3.00e-04 | train loss 1.1551
Epoch 01 | step 6200 | lr 3.00e-04 | train loss 1.1546
Epoch 01 | step 6250 | lr 3.00e-04 | train loss 1.1541
Epoch 01 | step 6300 | lr 3.00e-04 | train loss 1.1552
Epoch 01 | step 6350 | lr 3.00e-04 | train loss 1.1521
Epoch 01 | step 6400 | lr 3.00e-04 | train loss 1.1548
Epoch 01 | step 6450 | lr 3.00e-04 | train loss 1.1517
Epoch 01 | step 6500 | lr 3.00e-04 | train loss 1.1512
Epoch 01 | step 6550 | lr 3.00e-04 | train loss 1.1483
Epoch 01 | step 6600 | lr 3.00e-04 | train loss 1.1490
